Country Name,land<5m
Solomon Islands,7.290032776
Sierra Leone,5.256683491
El Salvador,3.631282195
San Marino,0
Somalia,0.240375613
Serbia,0
Sub-Saharan Africa (excluding high income),0.428695826
South Sudan,0
Sub-Saharan Africa,0.429189161
Small states,2.200629714
Sao Tome and Principe,3.401357797
Suriname,6.356288537
Slovak Republic,0
Slovenia,0.106451098
Sweden,0.99600367
Eswatini,0
Sint Maarten (Dutch part),19.21363355
Seychelles,26.05096368
Syrian Arab Republic,0.030984741
Turks and Caicos Islands,63.31447559
Chad,0
East Asia & Pacific (IDA & IBRD countries),2.423077685
Europe & Central Asia (IDA & IBRD countries),0.56209803
Togo,0.411133632
Thailand,4.239053867
Tajikistan,0
Turkmenistan,0
Latin America & the Caribbean (IDA & IBRD countries),1.159593681
Timor-Leste,1.559071578
Middle East & North Africa (IDA & IBRD countries),0.635035594
Tonga,17.53720123
South Asia (IDA & IBRD),1.473559024
Sub-Saharan Africa (IDA & IBRD countries),0.429189161
Trinidad and Tobago,7.296921056
Tunisia,1.47000588
Turkiye,0.572584849
Tuvalu,68.01713143
Tanzania,0.173452116
Uganda,0
Ukraine,0.820800772
Upper middle income,0.885033686
Uruguay,0.61393845
United States,1.455404813
Uzbekistan,0
St. Vincent and the Grenadines,7.844497923
"Venezuela, RB",1.566746463
British Virgin Islands,41.88600151
Virgin Islands (U.S.),14.55164267
Viet Nam,15.94357018
Vanuatu,4.215090432
World,1.084223338
Samoa,2.113518234
Kosovo,
"Yemen, Rep.",0.385032912
South Africa,0.114150971
Zambia,0
Zimbabwe,0
